city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,price_per_km,age_group,high_mileage,multiple_owners
bangalore,manual,2,toyota,toyota innova,2013,2.5 vx (diesel) 7 seater bs iv,1275000.0,2013,diesel,120000,2494,12.99,11,1.180909090909091,1290725.0,98152.42494226327,old,0,1
bangalore,automatic,2,hyundai,hyundai grand i10,2015,at asta,525000.0,2015,petrol,36459,1197,18.9,9,2.0999999999999996,607984.020282729,27777.77777777778,old,0,1
bangalore,manual,1,maruti,maruti sx4 s cross,2016,ddis 200 delta,750000.0,2016,diesel,93725,1248,23.65,8,2.95625,506751.9858898498,31712.473572938692,old,1,0
bangalore,automatic,2,maruti,maruti ciaz,2016,at zxi plus,632000.0,2016,petrol,115599,1373,19.12,8,2.39,506751.9858898498,33054.39330543933,old,0,1
bangalore,manual,1,maruti,maruti swift dzire,2015,zxi,645000.0,2016,petrol,43469,1197,22.41,8,2.80125,506751.9858898498,28781.793842034807,old,1,0
bangalore,manual,4,ford,ford ikon,2005,1.3 flair,500000.0,2005,petrol,70000,1299,13.8,19,0.7263157894736842,732400.0,36231.884057971016,old,0,1
bangalore,automatic,2,bmw,bmw x5,2019,xdrive 30d xline,6795000.0,2019,diesel,77000,2993,13.38,5,2.676,3330939.5604395606,507847.53363228694,mid-age,0,1
bangalore,manual,1,maruti,maruti vitara brezza,2018,ldi,850000.0,2018,diesel,100000,1248,24.3,6,4.05,506751.9858898498,34979.423868312755,mid-age,1,0
bangalore,manual,1,mitsubishi,mitsubishi cedia,2008,spirit,299000.0,2008,petrol,72000,1999,14.7,16,0.91875,647166.6666666666,20340.13605442177,old,0,0
bangalore,automatic,1,jaguar,jaguar xf,2013,2.2 litre luxury,2095000.0,2013,diesel,77000,2179,16.36,11,1.4872727272727273,3326617.6470588236,128056.23471882641,old,0,0
bangalore,automatic,1,audi,audi q7,2013,3.0 tdi quattro,2800000.0,2013,diesel,87101,2967,12.07,11,1.0972727272727274,2360864.5161290322,231980.115990058,old,0,0
bangalore,manual,2,volkswagen,volkswagen polo,2021,1.0 tsi highline plus,999000.0,2021,petrol,40771,999,18.24,3,6.079999999999999,704698.5815602837,54769.73684210527,mid-age,0,1
bangalore,manual,1,honda,honda jazz,2018,1.2 vx i vtec,825000.0,2018,petrol,28000,1199,18.7,6,3.1166666666666667,625329.2089728453,44117.64705882353,mid-age,0,0
bangalore,manual,3,maruti,maruti wagon r,2008,lxi minor,250000.0,2008,petrol,40000,1061,18.9,16,1.18125,506751.9858898498,13227.51322751323,old,0,1
bangalore,automatic,1,hyundai,hyundai venue,2020,sx plus turbo dct,1295000.0,2020,petrol,26000,998,18.15,4,4.5375,607984.020282729,71349.86225895317,mid-age,0,0
