city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,mileage_kmpl,engine_cc
bangalore,manual,1,hyundai,hyundai creta,2016,1.6 crdi sx plus,1260000.0,2016,diesel,50000.0,19.67,1582
bangalore,manual,2,hyundai,hyundai i10,2010,magna,300000.0,2010,petrol,90000.0,20.36,1197
bangalore,manual,1,hyundai,hyundai i20,2016,asta 1.2,627000.0,2016,petrol,52571.0,18.6,1197
bangalore,automatic,2,bmw,bmw 3 series,2010,320d highline,1300000.0,2010,diesel,70000.0,16.07,1995
bangalore,manual,1,honda,honda city,2015,i vtec v,672000.0,2015,petrol,61993.0,17.4,1497
bangalore,manual,1,hyundai,hyundai i20,2013,sportz 1.2,440000.00000000006,2013,petrol,36359.0,18.5,1197
bangalore,manual,2,tata,tata harrier,2019,xz bsiv,1460000.0,2019,diesel,70000.0,17.0,1956
bangalore,automatic,1,hyundai,hyundai verna,2017,vtvt 1.6 at sx option,1033000.0,2017,petrol,30301.0,17.0,1591
bangalore,manual,1,hyundai,hyundai i10,2010,sportz 1.2,275000.0,2010,petrol,66000.0,20.36,1197
bangalore,manual,1,hyundai,hyundai i20,2017,sportz 1.2,676000.0,2017,petrol,56010.0,18.6,1197
bangalore,manual,2,nissan,nissan terrano,2014,xv premium 110 ps,650000.0,2014,diesel,60000.0,19.01,1461
bangalore,manual,1,maruti,maruti swift,2014,vdi bsiv,444000.00000000006,2014,diesel,83829.0,25.2,1248
bangalore,automatic,1,renault,renault kwid,2020,1.0 rxt amt opt,509999.99999999994,2020,petrol,10000.0,22.0,999
bangalore,automatic,2,renault,renault duster,2016,110ps diesel rxz amt,925000.0,2016,diesel,35000.0,19.6,1461
bangalore,automatic,2,honda,honda city,2019,i-vtec cvt v,1024000.0,2020,petrol,51116.0,18.0,1497
bangalore,manual,3,skoda,skoda rapid,2016,1.5 tdi elegance black package,500000.0,2016,diesel,80000.0,21.14,1498
bangalore,automatic,2,volkswagen,volkswagen polo,2017,gt tsi,994999.9999999999,2017,petrol,40000.0,17.21,1197
bangalore,automatic,2,honda,honda cr-v,2012,2.4l 4wd at,935000.0,2012,petrol,85565.0,11.1,2354
bangalore,manual,1,ford,ford ecosport,2018,1.5 petrol titanium plus bsiv,834000.0,2018,petrol,36916.0,17.0,1497
bangalore,manual,1,volkswagen,volkswagen polo,2015,1.5 tdi highline,560000.0,2015,diesel,90000.0,20.14,1498
bangalore,manual,1,maruti,maruti swift,2012,vxi,454000.0,2012,petrol,112795.0,22.38,1197
bangalore,manual,2,toyota,toyota innova,2014,2.0 vx (petrol) 7 seater,1100000.0,2014,petrol,120000.0,11.4,1998
bangalore,manual,2,honda,honda brio,2016,s mt,462000.0,2016,petrol,36685.0,19.4,1198
bangalore,automatic,2,hyundai,hyundai santa fe,2012,4x4 at,900000.0,2012,diesel,120000.0,11.72,2199
bangalore,automatic,2,maruti,maruti baleno,2019,1.2 cvt alpha,843000.0,2019,petrol,32184.0,21.4,1197
bangalore,manual,1,maruti,maruti baleno rs,2018,1.0 petrol,799000.0,2019,petrol,32279.0,21.1,998
bangalore,manual,1,hyundai,hyundai i20,2015,asta option 1.2,576000.0,2015,petrol,59698.0,18.6,1197
bangalore,manual,1,renault,renault captur,2018,1.5 diesel platine,949000.0,2018,diesel,46071.0,20.37,1461
bangalore,manual,1,maruti,maruti vitara brezza,2017,zdi,795000.0,2017,diesel,90000.0,24.3,1248
bangalore,manual,1,hyundai,hyundai venue,2019,sx turbo bsiv,1085000.0,2019,petrol,9554.0,18.27,998
bangalore,manual,2,renault,renault duster,2013,85ps diesel rxe,516000.0,2013,diesel,74499.0,20.45,1461
bangalore,automatic,2,ford,ford ecosport,2017,1.5 petrol trend plus at bsiv,777000.0,2017,petrol,56211.0,14.8,1497
bangalore,manual,1,honda,honda jazz,2019,v,753000.0,2019,petrol,9001.0,18.2,1199
bangalore,automatic,2,mahindra,mahindra xuv500,2017,at w10 1.99 mhawk,1226000.0,2017,diesel,65457.0,16.0,1997
bangalore,manual,1,honda,honda jazz,2017,1.2 v i vtec,725000.0,2017,petrol,23682.0,18.7,1199
bangalore,manual,1,hyundai,hyundai verna,2020,crdi 1.6 sx,1150000.0,2020,diesel,50000.0,22.0,1582
bangalore,manual,2,maruti,maruti swift,2015,zdi bsiv,629000.0,2015,diesel,134557.0,25.2,1248
bangalore,manual,2,maruti,maruti swift dzire,2013,vxi,447000.0,2013,petrol,96567.0,22.41,1197
bangalore,manual,2,maruti,maruti ertiga,2014,zdi,786000.0,2015,diesel,83007.0,20.77,1248
bangalore,manual,1,honda,honda jazz,2018,1.2 vx i vtec,745000.0,2018,petrol,34000.0,18.7,1199
bangalore,automatic,1,hyundai,hyundai grand i10,2014,at asta,490000.00000000006,2014,petrol,81634.0,18.9,1197
bangalore,automatic,2,honda,honda city,2017,i-vtec cvt zx,942000.0,2017,petrol,57284.0,18.0,1497
bangalore,automatic,2,ford,ford ecosport,2016,1.5 ti vct at titanium bsiv,675000.0,2016,petrol,70000.0,15.63,1499
bangalore,manual,2,honda,honda brio,2013,s mt,330000.0,2013,petrol,70000.0,19.4,1198
bangalore,automatic,2,toyota,toyota yaris,2018,g cvt bsiv,875000.0,2018,petrol,46429.0,17.8,1496
bangalore,manual,1,maruti,maruti baleno,2017,1.2 alpha,869000.0,2018,petrol,17624.0,21.4,1197
bangalore,manual,2,volkswagen,volkswagen vento,2012,diesel highline,425000.0,2012,diesel,100000.0,20.54,1598
bangalore,manual,1,honda,honda city,2019,i-vtec v,1070000.0,2019,petrol,30000.0,17.4,1497
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium,1025000.0,2018,petrol,49690.0,15.9,1496
bangalore,manual,1,mahindra,mahindra xuv500,2016,w6 2wd,1000000.0,2016,diesel,110000.0,16.0,2179
bangalore,manual,1,fiat,fiat linea,2009,emotion pack,375000.0,2009,petrol,50000.0,16.0,1368
bangalore,automatic,1,ford,ford ecosport,2018,1.5 petrol titanium plus at bsiv,844000.0,2018,petrol,55702.0,14.8,1497
bangalore,manual,1,hyundai,hyundai i20 active,2016,1.4 sx,764000.0,2016,diesel,45046.0,21.19,1396
bangalore,manual,2,maruti,maruti ritz,2014,vxi,420000.0,2014,petrol,53000.0,18.5,1197
bangalore,manual,1,maruti,maruti baleno,2016,1.3 alpha,684000.0,2016,diesel,94695.0,27.39,1248
bangalore,manual,1,maruti,maruti baleno,2019,1.2 alpha,802999.9999999999,2019,petrol,22162.0,21.4,1197
bangalore,manual,2,hyundai,hyundai santro xing,2010,gls,320000.0,2010,petrol,70000.0,17.92,1086
bangalore,manual,1,honda,honda city,2017,i dtec v,803999.9999999999,2018,diesel,115331.0,26.0,1498
bangalore,automatic,2,mercedes-benz,mercedes-benz e-class,2013,e 220 cdi avantgarde,1400000.0,2013,diesel,70000.0,10.0,2148
bangalore,manual,2,maruti,maruti swift,2016,vxi,548000.0,2016,petrol,42233.0,22.38,1197
bangalore,manual,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz bsiv,619000.0,2019,petrol,20941.0,18.9,1197
bangalore,manual,2,maruti,maruti vitara brezza,2018,zdi plus dual tone,1000000.0,2018,diesel,50000.0,24.3,1248
bangalore,manual,1,honda,honda wr-v,2018,i-vtec vx,865000.0,2018,petrol,46602.0,17.5,1199
bangalore,automatic,2,mahindra ssangyong,mahindra ssangyong rexton,2014,rx7,1000000.0,2014,diesel,50000.0,11.18,2696
bangalore,manual,2,maruti,maruti swift,2014,vdi bsiv,535000.0,2014,diesel,104000.0,25.2,1248
bangalore,manual,1,ford,ford ecosport,2018,1.5 diesel titanium plus bsiv,975000.0,2018,diesel,90000.0,23.0,1498
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,699000.0,2017,petrol,50035.0,21.4,1197
bangalore,manual,1,tata,tata nexon,2021,xz plus dualtone roof (o),1150000.0,2021,petrol,80000.0,17.57,1199
bangalore,manual,2,hyundai,hyundai i20,2015,sportz option 1.2,625000.0,2015,petrol,90000.0,18.6,1197
bangalore,automatic,4,mercedes-benz,mercedes-benz e-class,2011,e250 cdi blue efficiency,1000000.0,2011,diesel,90000.0,14.21,2143
bangalore,manual,1,toyota,toyota corolla altis,2011,diesel d4dg,600000.0,2011,diesel,120000.0,21.43,1364
bangalore,manual,1,maruti,maruti swift dzire,2015,zxi,675000.0,2015,petrol,25170.0,22.41,1197
bangalore,manual,1,maruti,maruti ciaz,2021,delta bsvi,893000.0,2021,petrol,25022.0,20.65,1462
bangalore,manual,2,maruti,maruti swift,2012,rs vdi,420000.0,2012,diesel,100000.0,22.9,1248
bangalore,manual,1,maruti,maruti ciaz,2020,delta bsvi,941000.0,2020,petrol,26367.0,20.65,1462
bangalore,automatic,2,hyundai,hyundai elantra,2015,sx at,630000.0,2015,petrol,76567.0,14.5,1797
bangalore,manual,2,toyota,toyota innova,2013,2.5 vx (diesel) 7 seater bs iv,1275000.0,2013,diesel,120000.0,12.99,2494
bangalore,automatic,2,hyundai,hyundai grand i10,2015,at asta,525000.0,2015,petrol,36459.0,18.9,1197
bangalore,manual,1,maruti,maruti sx4 s cross,2016,ddis 200 delta,750000.0,2016,diesel,93725.0,23.65,1248
bangalore,automatic,2,maruti,maruti ciaz,2016,at zxi plus,632000.0,2016,petrol,115599.0,19.12,1373
bangalore,manual,1,maruti,maruti swift dzire,2015,zxi,645000.0,2016,petrol,43469.0,22.41,1197
bangalore,manual,4,ford,ford ikon,2005,1.3 flair,500000.0,2005,petrol,70000.0,13.8,1299
bangalore,manual,1,maruti,maruti vitara brezza,2018,ldi,850000.0,2018,diesel,100000.0,24.3,1248
bangalore,manual,1,mitsubishi,mitsubishi cedia,2008,spirit,299000.0,2008,petrol,72000.0,14.7,1999
bangalore,manual,2,volkswagen,volkswagen polo,2021,1.0 tsi highline plus,999000.0,2021,petrol,40771.0,18.24,999
