owner_no,model_year,price,registered_year,kms_driven,mileage_kmpl,engine_cc,car_age,model_age,registration_lag,normalized_model_age,mileage_normalized,high_mileage,multiple_owners,brand_popularity,kms_per_year,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_automatic,transmission_manual,fuel_type_cng,fuel_type_diesel,fuel_type_lpg,fuel_type_petrol,kms_High,kms_Low,kms_Moderate,kms_Unused,kms_Very_Low,brand_encoded,variant_name_encoded,model_encoded
1,2018,825000.0,2018,53645.0,21.5,1497,6,6,0,0.8571428571428571,0.6039325842696629,0,0,617492.5013404826,7663.571428571428,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,28,712500.0,885534.0909090909
2,2006,220000.00000000003,2006,100000.0,15.3,1341,18,18,0,0.9473684210526316,0.4297752808988764,0,1,575329.531685678,5263.1578947368425,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,187541.66666666666,117571.57142857143
1,2014,428000.0,2014,53982.0,26.68,998,10,10,0,0.9090909090909092,0.7494382022471909,0,0,503886.0239819005,4907.454545454545,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,18,473038.46153846156,440245.0331125828
1,2014,695000.0,2014,110000.0,21.14,1498,10,10,0,0.9090909090909092,0.5938202247191011,0,0,775941.1764705882,10000.0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,27,695000.0,689545.4545454546
2,2019,930000.0,2019,37741.0,15.9,1496,5,5,0,0.8333333333333334,0.446629213483146,0,1,538652.329749104,6290.166666666667,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,6,822333.3333333334,683109.0909090909
1,2021,455000.0,2021,17367.0,22.05,796,3,3,0,0.75,0.6193820224719101,0,0,503886.0239819005,4341.75,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,409583.3333333333,306477.1296296296
1,2017,1195000.0,2017,94000.0,19.67,1582,7,7,0,0.875,0.5525280898876405,0,0,575329.531685678,11750.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,9,1122000.0,1016921.2121212122
3,2014,442000.0,2014,54601.0,22.38,1197,10,10,0,0.9090909090909092,0.6286516853932583,0,1,503886.0239819005,4963.727272727273,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,424566.34688346885,506008.6455331412
1,2018,690000.0,2018,110000.0,28.4,1248,6,6,0,0.8571428571428571,0.797752808988764,0,0,503886.0239819005,15714.285714285714,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,18,500369.36936936935,506008.6455331412
2,2017,500000.0,2017,64000.0,23.1,998,7,7,0,0.875,0.648876404494382,0,1,503886.0239819005,8000.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,483400.0,440245.0331125828
1,2015,650000.0,2015,100000.0,26.21,1248,9,9,0,0.9,0.7362359550561798,0,0,503886.0239819005,10000.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,18,537500.0,695777.7777777778
2,2016,537000.0,2016,44154.0,19.0,1199,8,8,0,0.8888888888888888,0.5337078651685393,0,1,621019.765258216,4906.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,8,609571.4285714285,581642.8571428572
1,2016,750000.0,2016,70000.0,19.98,1461,8,8,0,0.8888888888888888,0.5612359550561797,0,0,536132.6860841424,7777.777777777777,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,26,632500.0,632500.0
2,2017,468000.0,2018,68039.0,23.84,1199,6,7,1,0.75,0.6696629213483146,0,1,617492.5013404826,9719.857142857143,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,28,412666.6666666667,521147.36842105264
2,2014,420000.0,2014,60000.0,18.5,1197,10,10,0,0.9090909090909092,0.5196629213483146,0,1,503886.0239819005,5454.545454545455,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,424566.34688346885,262301.9069767442
1,2021,920000.0,2021,10000.0,20.0,998,3,3,0,0.75,0.5617977528089887,0,0,575329.531685678,2500.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,9,948500.0,564454.268292683
1,2013,533000.0,2013,49873.0,16.8,1497,11,11,0,0.9166666666666666,0.4719101123595505,0,0,621019.765258216,4156.083333333333,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,8,634900.0,696057.5342465753
3,2013,850000.0,2013,90000.0,17.2,1197,11,11,0,0.9166666666666666,0.4831460674157303,0,1,639688.6446886447,7500.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,30,791375.0,550845.0704225352
2,2017,751000.0,2017,48960.0,21.13,1498,7,7,0,0.875,0.5935393258426965,0,1,775941.1764705882,6120.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,27,815833.3333333334,689545.4545454546
2,2014,388000.0,2014,70000.0,24.0,1120,10,10,0,0.9090909090909092,0.6741573033707865,0,1,575329.531685678,6363.636363636364,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,9,337500.0,472567.5675675676
2,2013,490000.00000000006,2013,68000.0,18.5,1197,11,11,0,0.9166666666666666,0.5196629213483146,0,1,575329.531685678,5666.666666666667,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,432584.6153846154,564454.268292683
